No.,Time,Source,Destination,Protocol,Length,Signal strength (dBm),Noise level (dBm),Signal/noise ratio (dB),Info
6,1.3982345,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,119,-19dBm,,,"QoS Data, SN=864, FN=0, Flags=.p....F."
10,3.1998751,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,125,-29dBm,,,"QoS Data, SN=865, FN=0, Flags=.p..R.F."
14,4.5004097,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,127,-36dBm,,,"QoS Data, SN=866, FN=0, Flags=.p..R.F."
17,5.0563932,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,127,-32dBm,,,"QoS Data, SN=867, FN=0, Flags=.p..R.F."
20,5.9946687,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,127,-26dBm,,,"QoS Data, SN=868, FN=0, Flags=.p..R.F."
21,6.1860347,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,127,-43dBm,,,"QoS Data, SN=869, FN=0, Flags=.p..R.F."
23,6.4177673,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,127,-48dBm,,,"QoS Data, SN=870, FN=0, Flags=.p....F."
27,6.8568522000000005,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,127,-34dBm,,,"QoS Data, SN=871, FN=0, Flags=.p....F."
32,7.4242274,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,127,-17dBm,,,"QoS Data, SN=872, FN=0, Flags=.p....F."
33,9.324395500000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,168,-40dBm,,,"QoS Data, SN=873, FN=0, Flags=.p....F."
35,9.348870200000002,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,168,-28dBm,,,"QoS Data, SN=874, FN=0, Flags=.p..R.F."
37,10.263287300000002,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,168,-29dBm,,,"QoS Data, SN=875, FN=0, Flags=.p....F."
38,12.116291900000002,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,210,-26dBm,,,"QoS Data, SN=876, FN=0, Flags=.p....F."
42,13.035079200000002,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,210,-29dBm,,,"QoS Data, SN=877, FN=0, Flags=.p....F."
43,14.824486100000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,128,-36dBm,,,"QoS Data, SN=878, FN=0, Flags=.p..R.F."
44,16.807472200000003,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,226,-43dBm,,,"QoS Data, SN=879, FN=0, Flags=.p..R.F."
48,17.025230600000004,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,226,-42dBm,,,"QoS Data, SN=880, FN=0, Flags=.p....F."
51,18.035565200000004,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,120,-24dBm,,,"QoS Data, SN=881, FN=0, Flags=.p....F."
53,19.504931400000004,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,215,-40dBm,,,"QoS Data, SN=882, FN=0, Flags=.p....F."
57,20.303836100000005,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,215,-33dBm,,,"QoS Data, SN=883, FN=0, Flags=.p....F."
59,21.449999500000004,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,215,-37dBm,,,"QoS Data, SN=884, FN=0, Flags=.p..R.F."
64,22.730737400000002,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,184,-32dBm,,,"QoS Data, SN=885, FN=0, Flags=.p....F."
66,23.282742400000004,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,184,-32dBm,,,"QoS Data, SN=886, FN=0, Flags=.p....F."
70,24.093441800000004,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,184,-38dBm,,,"QoS Data, SN=887, FN=0, Flags=.p....F."
73,24.958820000000003,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,184,-38dBm,,,"QoS Data, SN=888, FN=0, Flags=.p....F."
74,26.189781900000003,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,143,-20dBm,,,"QoS Data, SN=889, FN=0, Flags=.p....F."
75,26.596416500000004,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,143,-19dBm,,,"QoS Data, SN=890, FN=0, Flags=.p....F."
80,28.058645400000003,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,199,-43dBm,,,"QoS Data, SN=891, FN=0, Flags=.p..R.F."
81,28.2953411,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,199,-46dBm,,,"QoS Data, SN=892, FN=0, Flags=.p....F."
86,29.2674954,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,199,-51dBm,,,"QoS Data, SN=893, FN=0, Flags=.p....F."
87,31.1941183,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,151,-26dBm,,,"QoS Data, SN=894, FN=0, Flags=.p....F."
92,33.1299661,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,219,-23dBm,,,"QoS Data, SN=895, FN=0, Flags=.p....F."
93,34.489173699999995,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,113,-39dBm,,,"QoS Data, SN=896, FN=0, Flags=.p..R.F."
97,35.15641539999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,113,-41dBm,,,"QoS Data, SN=897, FN=0, Flags=.p....F."
102,36.466032199999994,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,141,-45dBm,,,"QoS Data, SN=898, FN=0, Flags=.p....F."
104,38.052000899999996,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,156,-16dBm,,,"QoS Data, SN=899, FN=0, Flags=.p..R.F."
106,38.7016521,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,156,-25dBm,,,"QoS Data, SN=900, FN=0, Flags=.p....F."
110,39.436992999999994,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,156,-48dBm,,,"QoS Data, SN=901, FN=0, Flags=.p....F."
112,40.772052099999996,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,212,-17dBm,,,"QoS Data, SN=902, FN=0, Flags=.p....F."
113,40.908277299999995,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,212,-28dBm,,,"QoS Data, SN=903, FN=0, Flags=.p....F."
116,41.376626599999994,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,212,-44dBm,,,"QoS Data, SN=904, FN=0, Flags=.p....F."
120,43.255425499999994,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,125,-39dBm,,,"QoS Data, SN=905, FN=0, Flags=.p....F."
124,44.354997999999995,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,184,-30dBm,,,"QoS Data, SN=906, FN=0, Flags=.p....F."
127,44.94506689999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,184,-37dBm,,,"QoS Data, SN=907, FN=0, Flags=.p..R.F."
131,45.540038499999994,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,184,-35dBm,,,"QoS Data, SN=908, FN=0, Flags=.p....F."
135,47.51959289999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,170,-39dBm,,,"QoS Data, SN=909, FN=0, Flags=.p....F."
137,47.81639979999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,170,-46dBm,,,"QoS Data, SN=910, FN=0, Flags=.p....F."
141,49.29692579999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,237,-23dBm,,,"QoS Data, SN=911, FN=0, Flags=.p..R.F."
145,49.45047279999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,237,-48dBm,,,"QoS Data, SN=912, FN=0, Flags=.p....F."
150,49.62403789999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,237,-37dBm,,,"QoS Data, SN=913, FN=0, Flags=.p....F."
