No.,Time,Source,Destination,Protocol,Length,Signal strength (dBm),Noise level (dBm),Signal/noise ratio (dB),Info
4,1.7578505,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,185,-36dBm,,,"QoS Data, SN=791, FN=0, Flags=.p....F."
5,3.0384497,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,250,-27dBm,,,"QoS Data, SN=792, FN=0, Flags=.p..R.F."
9,3.6437618,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,250,-44dBm,,,"QoS Data, SN=793, FN=0, Flags=.p..R.F."
14,5.2751992,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,194,-37dBm,,,"QoS Data, SN=794, FN=0, Flags=.p..R.F."
17,5.54499,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,194,-78dBm,,,"QoS Data, SN=795, FN=0, Flags=.p..R.F."
22,6.472309500000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,194,-52dBm,,,"QoS Data, SN=796, FN=0, Flags=.p....F."
24,8.3041596,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,169,-21dBm,,,"QoS Data, SN=797, FN=0, Flags=.p....F."
29,8.6700655,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,169,-42dBm,,,"QoS Data, SN=798, FN=0, Flags=.p....F."
34,9.6703489,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,166,-52dBm,,,"QoS Data, SN=799, FN=0, Flags=.p..R.F."
39,10.989192300000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,154,-31dBm,,,"QoS Data, SN=800, FN=0, Flags=.p....F."
40,12.1307398,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,106,-23dBm,,,"QoS Data, SN=801, FN=0, Flags=.p....F."
42,12.2265958,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,106,-42dBm,,,"QoS Data, SN=802, FN=0, Flags=.p....F."
44,12.400996300000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,106,-47dBm,,,"QoS Data, SN=803, FN=0, Flags=.p....F."
49,14.363331,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,245,-76dBm,,,"QoS Data, SN=804, FN=0, Flags=.p..R.F."
51,15.8737603,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,239,-28dBm,,,"QoS Data, SN=805, FN=0, Flags=.p....F."
52,16.4283341,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,239,-51dBm,,,"QoS Data, SN=806, FN=0, Flags=.p....F."
55,17.8185906,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,122,-41dBm,,,"QoS Data, SN=807, FN=0, Flags=.p..R.F."
58,19.6564494,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,166,-52dBm,,,"QoS Data, SN=808, FN=0, Flags=.p....F."
