No.,Time,Source,Destination,Protocol,Length,Signal strength (dBm),Noise level (dBm),Signal/noise ratio (dB),Info
6,1.9078369,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,154,-35dBm,,,"QoS Data, SN=426, FN=0, Flags=.p..R.F."
11,2.4878,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,154,-59dBm,,,"QoS Data, SN=427, FN=0, Flags=.p....F."
12,2.6825938,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,154,-52dBm,,,"QoS Data, SN=428, FN=0, Flags=.p....F."
17,3.0635974999999998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,154,-37dBm,,,"QoS Data, SN=429, FN=0, Flags=.p..R.F."
21,3.5814228,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,154,-48dBm,,,"QoS Data, SN=430, FN=0, Flags=.p....F."
26,3.8223002,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,154,-27dBm,,,"QoS Data, SN=431, FN=0, Flags=.p....F."
29,5.6378273,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,114,-25dBm,,,"QoS Data, SN=432, FN=0, Flags=.p....F."
33,7.2665766,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,155,-30dBm,,,"QoS Data, SN=433, FN=0, Flags=.p....F."
37,7.9896866,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,155,-20dBm,,,"QoS Data, SN=434, FN=0, Flags=.p..R.F."
38,8.3890873,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,155,-43dBm,,,"QoS Data, SN=435, FN=0, Flags=.p....F."
43,9.438847599999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,253,-22dBm,,,"QoS Data, SN=436, FN=0, Flags=.p....F."
47,11.181156699999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,158,-21dBm,,,"QoS Data, SN=437, FN=0, Flags=.p....F."
48,12.004912699999998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,158,-34dBm,,,"QoS Data, SN=438, FN=0, Flags=.p..R.F."
53,13.8744284,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,203,-21dBm,,,"QoS Data, SN=439, FN=0, Flags=.p..R.F."
54,15.4614981,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,247,-25dBm,,,"QoS Data, SN=440, FN=0, Flags=.p..R.F."
57,16.2673449,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,247,-54dBm,,,"QoS Data, SN=441, FN=0, Flags=.p..R.F."
60,17.0908614,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,247,-20dBm,,,"QoS Data, SN=442, FN=0, Flags=.p..R.F."
65,17.8092913,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,247,-25dBm,,,"QoS Data, SN=443, FN=0, Flags=.p....F."
66,19.038358700000003,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,185,-45dBm,,,"QoS Data, SN=444, FN=0, Flags=.p..R.F."
71,20.729325000000003,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,106,-28dBm,,,"QoS Data, SN=445, FN=0, Flags=.p....F."
72,21.883837500000002,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,182,-40dBm,,,"QoS Data, SN=446, FN=0, Flags=.p..R.F."
74,23.126069800000003,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,187,-29dBm,,,"QoS Data, SN=447, FN=0, Flags=.p....F."
79,23.451081100000003,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,187,-24dBm,,,"QoS Data, SN=448, FN=0, Flags=.p....F."
