No.,Time,Source,Destination,Protocol,Length,Signal strength (dBm),Noise level (dBm),Signal/noise ratio (dB),Info
3,1.2372868,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,231,-36dBm,,,"QoS Data, SN=778, FN=0, Flags=.p....F."
4,1.5990799999999998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,231,-61dBm,,,"QoS Data, SN=779, FN=0, Flags=.p....F."
9,2.2102112,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,231,-32dBm,,,"QoS Data, SN=780, FN=0, Flags=.p....F."
10,2.7723226,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,231,-49dBm,,,"QoS Data, SN=781, FN=0, Flags=.p..R.F."
15,4.0715581,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,124,-44dBm,,,"QoS Data, SN=782, FN=0, Flags=.p....F."
19,5.0388149,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,124,-37dBm,,,"QoS Data, SN=783, FN=0, Flags=.p....F."
20,6.511415,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,179,-38dBm,,,"QoS Data, SN=784, FN=0, Flags=.p....F."
24,6.9900281,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,179,-56dBm,,,"QoS Data, SN=785, FN=0, Flags=.p....F."
29,7.0170778,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,179,-42dBm,,,"QoS Data, SN=786, FN=0, Flags=.p....F."
34,8.1373433,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,167,-52dBm,,,"QoS Data, SN=787, FN=0, Flags=.p....F."
38,9.2833471,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,204,-31dBm,,,"QoS Data, SN=788, FN=0, Flags=.p....F."
42,9.5931225,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,204,-35dBm,,,"QoS Data, SN=789, FN=0, Flags=.p....F."
44,10.989747099999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,211,-20dBm,,,"QoS Data, SN=790, FN=0, Flags=.p..R.F."
48,12.4691476,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,242,-26dBm,,,"QoS Data, SN=791, FN=0, Flags=.p....F."
53,13.086089699999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,242,-48dBm,,,"QoS Data, SN=792, FN=0, Flags=.p....F."
57,13.388856899999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,242,-40dBm,,,"QoS Data, SN=793, FN=0, Flags=.p....F."
59,14.5615411,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,123,-49dBm,,,"QoS Data, SN=794, FN=0, Flags=.p....F."
61,16.1367397,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,243,-49dBm,,,"QoS Data, SN=795, FN=0, Flags=.p....F."
66,16.280356,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,243,-31dBm,,,"QoS Data, SN=796, FN=0, Flags=.p....F."
69,16.581494000000003,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,243,-41dBm,,,"QoS Data, SN=797, FN=0, Flags=.p..R.F."
74,18.565887200000002,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,149,-59dBm,,,"QoS Data, SN=798, FN=0, Flags=.p....F."
77,18.991845,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,149,-57dBm,,,"QoS Data, SN=799, FN=0, Flags=.p..R.F."
78,19.551845200000002,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,149,-45dBm,,,"QoS Data, SN=800, FN=0, Flags=.p....F."
82,20.799516500000003,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,118,-52dBm,,,"QoS Data, SN=801, FN=0, Flags=.p....F."
84,21.601547700000005,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,118,-40dBm,,,"QoS Data, SN=802, FN=0, Flags=.p....F."
85,23.581070700000005,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,211,-25dBm,,,"QoS Data, SN=803, FN=0, Flags=.p..R.F."
88,24.560557200000005,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,211,-38dBm,,,"QoS Data, SN=804, FN=0, Flags=.p....F."
90,25.739985400000005,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,170,-26dBm,,,"QoS Data, SN=805, FN=0, Flags=.p....F."
95,26.500958000000004,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,170,-30dBm,,,"QoS Data, SN=806, FN=0, Flags=.p....F."
98,27.447146400000005,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,170,-27dBm,,,"QoS Data, SN=807, FN=0, Flags=.p....F."
101,28.477677500000006,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,137,-26dBm,,,"QoS Data, SN=808, FN=0, Flags=.p..R.F."
103,28.638048100000006,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,137,-37dBm,,,"QoS Data, SN=809, FN=0, Flags=.p..R.F."
107,29.448278400000007,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,137,-34dBm,,,"QoS Data, SN=810, FN=0, Flags=.p....F."
111,30.692841700000006,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,134,-43dBm,,,"QoS Data, SN=811, FN=0, Flags=.p....F."
115,32.287682800000006,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,125,-41dBm,,,"QoS Data, SN=812, FN=0, Flags=.p..R.F."
120,32.43651760000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,125,-49dBm,,,"QoS Data, SN=813, FN=0, Flags=.p....F."
124,34.28895020000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,156,-40dBm,,,"QoS Data, SN=814, FN=0, Flags=.p....F."
128,35.57982850000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,133,-32dBm,,,"QoS Data, SN=815, FN=0, Flags=.p....F."
129,36.37028580000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,133,-45dBm,,,"QoS Data, SN=816, FN=0, Flags=.p..R.F."
130,37.855436300000015,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,137,-39dBm,,,"QoS Data, SN=817, FN=0, Flags=.p....F."
134,38.25385020000002,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,137,-34dBm,,,"QoS Data, SN=818, FN=0, Flags=.p....F."
138,39.635515800000015,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,221,-41dBm,,,"QoS Data, SN=819, FN=0, Flags=.p..R.F."
141,40.53448200000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,221,-37dBm,,,"QoS Data, SN=820, FN=0, Flags=.p....F."
143,42.132076800000014,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,175,-64dBm,,,"QoS Data, SN=821, FN=0, Flags=.p..R.F."
148,43.45759130000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,170,-30dBm,,,"QoS Data, SN=822, FN=0, Flags=.p....F."
151,45.37293110000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,146,-42dBm,,,"QoS Data, SN=823, FN=0, Flags=.p....F."
154,45.639076300000006,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,146,-31dBm,,,"QoS Data, SN=824, FN=0, Flags=.p....F."
155,46.22065550000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,146,-21dBm,,,"QoS Data, SN=825, FN=0, Flags=.p....F."
160,47.55525310000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,111,-34dBm,,,"QoS Data, SN=826, FN=0, Flags=.p....F."
161,48.18052370000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,111,-62dBm,,,"QoS Data, SN=827, FN=0, Flags=.p....F."
163,48.78100890000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,111,-27dBm,,,"QoS Data, SN=828, FN=0, Flags=.p..R.F."
167,50.43116710000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,197,-42dBm,,,"QoS Data, SN=829, FN=0, Flags=.p..R.F."
171,52.25051360000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,234,-22dBm,,,"QoS Data, SN=830, FN=0, Flags=.p....F."
172,53.85606600000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,190,-41dBm,,,"QoS Data, SN=831, FN=0, Flags=.p....F."
174,54.734991500000014,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,190,-24dBm,,,"QoS Data, SN=832, FN=0, Flags=.p....F."
179,56.32101380000002,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,212,-51dBm,,,"QoS Data, SN=833, FN=0, Flags=.p....F."
182,56.58886970000002,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,212,-34dBm,,,"QoS Data, SN=834, FN=0, Flags=.p..R.F."
183,56.624033400000016,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,212,-47dBm,,,"QoS Data, SN=835, FN=0, Flags=.p....F."
184,57.058128300000014,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,212,-22dBm,,,"QoS Data, SN=836, FN=0, Flags=.p....F."
186,57.37458980000002,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,212,-36dBm,,,"QoS Data, SN=837, FN=0, Flags=.p....F."
190,57.55086810000002,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,212,-37dBm,,,"QoS Data, SN=838, FN=0, Flags=.p....F."
195,57.92125870000002,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,212,-38dBm,,,"QoS Data, SN=839, FN=0, Flags=.p..R.F."
